epoch,updates,auc,ap,val_auc,val_ap
0,0,0.5550033614206724,0.7257461215314513,0.7582250407532054,0.8157340879568198
1,2048,0.26904041448435195,0.5548892569637235,0.9805547528185573,0.9871825615799614
2,4096,0.23351800172864992,0.5108668262842564,0.9739314058505916,0.983324527088382
3,6144,0.15712957233521965,0.44226509195478264,0.9681578594992826,0.9801962246541434
4,8192,0.11789373312977029,0.42161068009639313,0.9708307363049641,0.9820130357128345
5,10240,0.12274326128191895,0.42753762045954885,0.9660057810773549,0.9794297931760787
6,12288,0.1260926203801436,0.42971328900002753,0.962736471586574,0.9777474365818661
7,14336,0.1415637034939354,0.43858083941858805,0.9660320636600398,0.9793888695986727
8,16384,0.13527287304501937,0.4337064839277198,0.9617854944320445,0.9774485117895786
9,18432,0.1422018312582176,0.4400442580557055,0.9621725182502551,0.97787772132586
10,20480,0.15261170158981782,0.4495685694350967,0.9613997073263643,0.9774194166138087
